/*
データ構造
ID,タイマー,gx,gy,gz,accx,accy,accz,ax,ay,az,mx,my,mz,MPU気温,BMP気温,気圧,worldTime,経度,緯度
（ノーズコーンのロガーはGPSを搭載していないためデータは取れていません。）
開始時刻:離陸-10~15m
*/

ID=64,17.261309145, 215, -674,5268, 15500, -2416,0.321533, 0.946045, -0.147461,0, 0, 0-18,12.44, 977.920.0,0.000000,0.000000
ID=65,17.514132333, 143, -517,5524, 15812, -2536,0.337158, 0.965088, -0.154785,0, 0, 0-18,12.44, 977.920.0,0.000000,0.000000
ID=66,17.806583389, -356, -1119,5660, 15344, -2644,0.345459, 0.936523, -0.161377,0, 0, 0-17,12.48, 977.890.0,0.000000,0.000000
ID=67,18.059431-271, -587, 1130,5316, 15208, -2144,0.324463, 0.928223, -0.130859,0, 0, 0-17,12.48, 977.950.0,0.000000,0.000000
ID=68,18.312241-143, 70, 283,5100, 15484, -2208,0.311279, 0.945068, -0.134766,0, 0, 0-18,12.48, 977.950.0,0.000000,0.000000
ID=69,18.56509049, 508, 853,5972, 14716, -2404,0.364502, 0.898193, -0.146729,0, 0, 0-17,12.49, 977.920.0,0.000000,0.000000
ID=70,18.87174229, 6, 1627,6112, 15212, -2832,0.373047, 0.928467, -0.172852,0, 0, 0-18,12.49, 977.950.0,0.000000,0.000000
ID=71,19.124603352, -341, -595,6940, 14624, -2496,0.423584, 0.892578, -0.152344,0, 0, 0-17,12.49, 977.950.0,0.000000,0.000000
ID=72,19.377474785, -243, -1432,7532, 14284, -2772,0.459717, 0.871826, -0.169189,0, 0, 0-17,12.53, 977.870.0,0.000000,0.000000
ID=73,19.630276362, 639, -1041,6924, 14648, -3076,0.422607, 0.894043, -0.187744,0, 0, 0-17,12.53, 977.950.0,0.000000,0.000000
ID=74,19.891130-927, 2077, 1802,4200, 14720, -3196,0.256348, 0.898438, -0.195068,0, 0, 0-17,12.53, 977.950.0,0.000000,0.000000
ID=75,20.143923-312, 600, 1760,5400, 15360, -3488,0.329590, 0.937500, -0.212891,0, 0, 0-17,12.53, 977.950.0,0.000000,0.000000
ID=76,20.396749263, 1953, 815,6116, 14952, -3016,0.373291, 0.912598, -0.184082,0, 0, 0-18,12.55, 977.930.0,0.000000,0.000000
ID=77,20.649529-253, 1211, 734,5580, 15524, -3756,0.340576, 0.947510, -0.229248,0, 0, 0-17,12.55, 977.950.0,0.000000,0.000000
ID=78,20.957186-4026, -15131, 4081,7424, 16196, 1236,0.453125, 0.988525, 0.075439,0, 0, 0-18,12.55, 977.950.0,0.000000,0.000000
ID=79,21.210054-7097, -16255, 5406,5748, 14636, -5284,0.350830, 0.893311, -0.322510,0, 0, 0-18,12.57, 977.870.0,0.000000,0.000000
ID=80,21.462908-2106, 421, -1845,7048, 14684, -3060,0.430176, 0.896240, -0.186768,0, 0, 0-17,12.57, 977.900.0,0.000000,0.000000
ID=81,21.715708-982, 198, -311,7328, 13388, -2196,0.447266, 0.817139, -0.134033,0, 0, 0-17,12.57, 977.900.0,0.000000,0.000000
ID=82,21.9765742987, 2359, -1875,6384, 14232, -1284,0.389648, 0.868652, -0.078369,0, 0, 0-18,12.57, 977.900.0,0.000000,0.000000
ID=83,22.229362-1756, 2569, 802,6888, 15600, -1248,0.420410, 0.952148, -0.076172,0, 0, 0-17,12.63, 977.900.0,0.000000,0.000000
ID=84,22.482199-9843, 5835, 6426,7316, 13580, 3976,0.446533, 0.828857, 0.242676,0, 0, 0-17,12.63, 977.990.0,0.000000,0.000000
ID=85,22.735062-8856, 10036, 5630,8232, 12180, 10380,0.502441, 0.743408, 0.633545,0, 0, 0-17,12.63, 977.990.0,0.000000,0.000000
ID=86,23.0416951769, 1642, 5009,8148, 8812, 11816,0.497314, 0.537842, 0.721191,0, 0, 0-17,12.70, 977.910.0,0.000000,0.000000
ID=87,23.294500-2466, -93, 2690,7108, 6440, 12692,0.433838, 0.393066, 0.774658,0, 0, 0-17,12.70, 978.050.0,0.000000,0.000000
ID=88,23.547342-10103, -2565, 9083,7988, 4508, 14456,0.487549, 0.275146, 0.882324,0, 0, 0-17,12.70, 978.050.0,0.000000,0.000000
ID=89,23.800167-6125, -226, 5896,5952, 2924, 15424,0.363281, 0.178467, 0.941406,0, 0, 0-16,12.71, 977.910.0,0.000000,0.000000
ID=90,24.060984-4154, -2378, 4734,8068, -844, 15224,0.492432, -0.051514, 0.929199,0, 0, 0-17,12.71, 977.920.0,0.000000,0.000000
ID=91,24.313845-2156, -2013, 3200,8400, -2900, 14028,0.512695, -0.177002, 0.856201,0, 0, 0-17,12.71, 977.920.0,0.000000,0.000000
ID=92,24.566708-580, -1723, 2986,9588, -4532, 13320,0.585205, -0.276611, 0.812988,0, 0, 0-18,12.71, 977.920.0,0.000000,0.000000
ID=93,24.819515-1337, 19, 1830,8680, -5520, 12564,0.529785, -0.336914, 0.766846,0, 0, 0-17,12.68, 977.970.0,0.000000,0.000000
ID=94,25.126928-648, -367, 1313,9184, -7036, 11968,0.560547, -0.429443, 0.730469,0, 0, 0-18,12.68, 977.940.0,0.000000,0.000000
ID=95,25.379562-722, -239, 1160,9328, -8892, 11288,0.569336, -0.542725, 0.688965,0, 0, 0-17,12.68, 977.940.0,0.000000,0.000000
ID=96,25.633867-1095, -1277, 1553,8988, -9056, 10356,0.548584, -0.552734, 0.632080,0, 0, 0-16,12.69, 977.890.0,0.000000,0.000000
ID=97,25.886469-1018, -223, 1197,8880, -9356, 9836,0.541992, -0.571045, 0.600342,0, 0, 0-17,12.69, 977.890.0,0.000000,0.000000
ID=98,26.178543381, -259, 957,8988, -10780, 10156,0.548584, -0.657959, 0.619873,0, 0, 0-17,12.69, 977.890.0,0.000000,0.000000
ID=99,26.431238-381, -514, 875,8800, -10296, 10004,0.537109, -0.628418, 0.610596,0, 0, 0-17,12.73, 977.730.0,0.000000,0.000000
ID=100,26.683947745, 176, 39,8532, -10252, 9956,0.520752, -0.625732, 0.607666,0, 0, 0-18,12.73, 977.790.0,0.000000,0.000000
ID=101,26.984556-2417, -1041, -843,8932, -13072, 10588,0.545166, -0.797852, 0.646240,0, 0, 0-17,12.73, 977.790.0,0.000000,0.000000
ID=102,27.245314-896, -176, -147,8280, -11772, 8272,0.505371, -0.718506, 0.504883,0, 0, 0-17,12.73, 977.790.0,0.000000,0.000000
ID=103,27.498140-2046, -2060, -609,9276, -9536, 10016,0.566162, -0.582031, 0.611328,0, 0, 0-17,12.76, 977.890.0,0.000000,0.000000
ID=104,27.750977130, 520, -37,9336, -10428, 8948,0.569824, -0.636475, 0.546143,0, 0, 0-17,12.76, 977.950.0,0.000000,0.000000
ID=105,28.003786112, -103, -697,9172, -10964, 8468,0.559814, -0.669189, 0.516846,0, 0, 0-17,12.76, 977.950.0,0.000000,0.000000
ID=106,28.264656304, -749, -286,9484, -10928, 7940,0.578857, -0.666992, 0.484619,0, 0, 0-17,12.79, 977.740.0,0.000000,0.000000
ID=107,28.517408-509, 1227, -799,9204, -9828, 9356,0.561768, -0.599854, 0.571045,0, 0, 0-17,12.79, 977.820.0,0.000000,0.000000
ID=108,28.775234-33, 104, -241,9476, -10456, 8892,0.578369, -0.638184, 0.542725,0, 0, 0-16,12.79, 977.820.0,0.000000,0.000000
ID=109,29.0914081683, 3115, -3223,10112, -9444, 9900,0.617188, -0.576416, 0.604248,0, 0, 0-16,12.80, 977.870.0,0.000000,0.000000
ID=110,29.3522617616, 7524, -10461,6988, -1704, 12232,0.426514, -0.104004, 0.746582,0, 0, 0-17,12.80, 977.870.0,0.000000,0.000000
ID=111,29.6051011565, -694, -6443,7464, -380, 16328,0.455566, -0.023193, 0.996582,0, 0, 0-17,12.80, 977.870.0,0.000000,0.000000
ID=112,29.857912-1618, 0, 2481,8048, 1048, 14268,0.491211, 0.063965, 0.870850,0, 0, 0-17,12.80, 977.870.0,0.000000,0.000000
ID=113,30.110748-57, 681, 1720,8048, -1888, 15048,0.491211, -0.115234, 0.918457,0, 0, 0-16,12.82, 977.790.0,0.000000,0.000000
ID=114,30.371628-177, -18, 305,7024, -2168, 15212,0.428711, -0.132324, 0.928467,0, 0, 0-16,12.82, 977.820.0,0.000000,0.000000
